index,lights,street_inf,bikes,landmarks,memorials,trees,transport_stops,bus-stops,tram-stops,metro-stations,taxi-ranks,big-car-parks,buildings_2010,buildings_2011,buildings_2012,buildings_2013,buildings_2014,buildings_2015,buildings_2016,buildings_2017,buildings_2018,buildings_2019,buildings_2020,avg_n_floors_2010,avg_n_floors_2011,avg_n_floors_2012,avg_n_floors_2013,avg_n_floors_2014,avg_n_floors_2015,avg_n_floors_2016,avg_n_floors_2017,avg_n_floors_2018,avg_n_floors_2019,avg_n_floors_2020,sensor_id
83,58,954,2,2,7,711,4,4,0,0,2,12,251,255,255,254,253,253,256,256,256,253,256,3.597609561752988,3.7254901960784315,3.796078431372549,4.031496062992126,4.3478260869565215,4.893280632411067,4.859375,5.828125,6.0,6.936758893280633,7.58203125,83
84,311,1287,2,17,10,497,16,12,3,1,11,5,199,200,198,198,198,198,198,198,195,192,193,8.542713567839195,8.505,8.580808080808081,8.590909090909092,8.686868686868687,8.686868686868687,8.681818181818182,8.747474747474747,8.846153846153847,8.942708333333334,8.917098445595855,84
85,2,304,0,4,0,1056,6,5,0,1,0,0,568,570,570,574,574,574,574,572,572,574,573,1.2570422535211268,1.2736842105263158,1.2736842105263158,1.2961672473867596,1.2961672473867596,1.3048780487804879,1.3048780487804879,1.312937062937063,1.312937062937063,1.318815331010453,1.317626527050611,85
86,0,406,0,1,1,1020,11,11,0,0,0,13,601,601,607,607,615,615,612,612,621,628,626,1.745424292845258,1.745424292845258,1.7792421746293245,1.7792421746293245,1.8195121951219513,1.8195121951219513,1.857843137254902,1.857843137254902,1.892109500805153,1.8869426751592357,1.900958466453674,86
87,0,373,0,1,1,1045,10,10,0,0,0,9,577,577,581,581,586,586,587,587,593,600,598,1.7400346620450606,1.7400346620450606,1.7676419965576593,1.7676419965576593,1.819112627986348,1.819112627986348,1.850085178875639,1.850085178875639,1.87858347386172,1.88,1.899665551839465,87
88,646,1506,2,16,20,523,0,0,0,0,20,7,349,349,341,341,341,341,340,340,339,344,344,5.555873925501433,5.679083094555874,5.689149560117302,5.686217008797654,5.794721407624634,5.8240469208211145,5.841176470588235,5.876470588235295,5.884955752212389,5.851744186046512,5.72093023255814,88
89,272,1589,1,20,17,413,11,7,3,1,16,8,225,226,221,221,221,221,221,221,218,218,219,7.8133333333333335,7.827433628318584,7.9411764705882355,7.9411764705882355,8.09049773755656,8.09049773755656,8.085972850678733,8.085972850678733,8.155963302752294,8.169724770642201,8.150684931506849,89
90,0,264,0,4,0,504,8,8,0,0,1,6,85,82,82,80,80,78,78,77,77,74,77,5.458823529411765,8.146341463414634,8.146341463414634,8.8625,8.8625,11.576923076923077,11.576923076923077,13.116883116883116,13.116883116883116,16.513513513513512,16.935064935064936,90
91,211,530,0,0,0,778,0,0,0,0,0,6,7,7,51,51,73,73,76,76,80,80,78,9.0,9.0,4.7254901960784315,4.7254901960784315,4.260273972602739,4.260273972602739,4.921052631578948,4.921052631578948,4.5625,4.5625,5.076923076923077,91
92,232,556,1,1,0,834,0,0,0,0,0,6,9,9,54,54,77,77,79,79,83,83,81,7.222222222222222,7.222222222222222,5.111111111111111,5.111111111111111,4.532467532467533,4.532467532467533,5.2025316455696204,5.2025316455696204,4.843373493975903,4.843373493975903,5.345679012345679,92
93,26,407,0,6,3,1026,1,0,0,1,2,5,333,333,333,333,333,333,333,333,333,338,338,2.2582582582582584,2.2582582582582584,2.2582582582582584,2.2582582582582584,2.2612612612612613,2.2612612612612613,2.264264264264264,2.264264264264264,2.279279279279279,2.2633136094674557,2.275147928994083,93
94,9,445,1,8,19,2019,1,0,1,0,1,2,48,48,48,48,48,48,48,48,48,48,47,4.354166666666667,4.354166666666667,4.375,4.375,4.4375,4.4375,4.4375,4.4375,4.458333333333333,4.458333333333333,4.25531914893617,94
95,9,445,1,6,17,1981,0,0,0,0,2,1,93,93,93,93,93,93,93,93,93,93,93,3.236559139784946,3.236559139784946,3.3010752688172045,3.3010752688172045,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.4193548387096775,3.4193548387096775,3.4838709677419355,95
96,9,449,1,6,17,1961,0,0,0,0,2,0,94,94,94,94,94,94,94,94,94,94,94,3.234042553191489,3.234042553191489,3.297872340425532,3.297872340425532,3.3297872340425534,3.3297872340425534,3.3297872340425534,3.3297872340425534,3.4148936170212765,3.4148936170212765,3.478723404255319,96
99,387,1617,2,16,20,445,3,2,1,0,21,7,354,354,346,346,346,345,344,345,342,343,346,6.053672316384181,6.1807909604519775,6.205202312138728,6.205202312138728,6.312138728323699,6.321739130434783,6.348837209302325,6.397101449275362,6.415204678362573,6.422740524781341,6.390173410404624,99
102,0,392,0,2,1,1071,10,10,0,0,0,10,591,591,596,596,603,603,604,604,611,618,618,1.7445008460236886,1.7445008460236886,1.7802013422818792,1.7802013422818792,1.8159203980099503,1.8159203980099503,1.8576158940397351,1.8576158940397351,1.878887070376432,1.8754045307443366,1.8932038834951457,102
103,0,250,0,2,0,1002,2,1,0,1,0,0,357,358,358,356,356,358,358,357,357,345,346,1.4509803921568627,1.458100558659218,1.458100558659218,1.4747191011235956,1.4747191011235956,1.4804469273743017,1.4804469273743017,1.4985994397759104,1.4985994397759104,1.5304347826086957,1.5289017341040463,103
104,1,710,0,5,1,762,10,10,0,0,2,3,316,316,316,316,320,320,322,322,322,329,331,2.1645569620253164,2.1645569620253164,2.1740506329113924,2.1740506329113924,2.190625,2.190625,2.198757763975155,2.198757763975155,2.2111801242236027,2.2036474164133737,2.205438066465257,104
105,1,693,0,5,1,727,10,10,0,0,2,3,302,302,302,302,306,306,308,308,308,314,316,2.1589403973509933,2.1589403973509933,2.1688741721854305,2.1688741721854305,2.1862745098039214,2.1862745098039214,2.1948051948051948,2.1948051948051948,2.2012987012987013,2.1878980891719744,2.189873417721519,105
106,1,702,0,5,1,704,11,11,0,0,2,3,293,293,293,293,297,297,298,298,297,302,304,2.1877133105802047,2.1877133105802047,2.197952218430034,2.197952218430034,2.2154882154882154,2.2154882154882154,2.1912751677852347,2.1912751677852347,2.1952861952861955,2.1821192052980134,2.1842105263157894,106
107,0,881,2,11,6,668,18,14,3,1,5,8,260,260,260,254,253,255,253,253,253,257,257,6.819230769230769,6.819230769230769,6.834615384615384,6.956692913385827,6.984189723320158,7.23921568627451,7.553359683794467,8.237154150197629,8.399209486166008,8.750972762645915,9.03112840466926,107
108,0,882,1,11,5,612,16,12,3,1,5,9,260,260,259,253,254,253,252,252,252,256,256,7.230769230769231,7.230769230769231,7.254826254826255,7.569169960474309,7.574803149606299,7.612648221343873,7.904761904761905,8.380952380952381,8.53968253968254,8.72265625,9.00390625,108
109,0,750,1,12,6,697,15,11,3,1,4,7,232,232,232,226,226,227,226,226,227,229,229,6.400862068965517,6.400862068965517,6.452586206896552,6.579646017699115,6.6415929203539825,6.929515418502203,7.256637168141593,8.02212389380531,8.189427312775331,8.318777292576419,8.716157205240174,109
116,9,453,1,6,17,1974,0,0,0,0,2,0,95,95,95,95,95,95,95,95,95,95,95,3.221052631578947,3.221052631578947,3.2842105263157895,3.2842105263157895,3.3157894736842106,3.3157894736842106,3.3157894736842106,3.3157894736842106,3.4,3.4,3.463157894736842,116
117,472,1089,2,17,16,948,5,1,4,0,9,6,156,156,152,152,152,151,152,152,149,145,145,7.743589743589744,8.076923076923077,8.18421052631579,8.19078947368421,8.381578947368421,8.71523178807947,8.664473684210526,9.013157894736842,9.140939597315436,9.317241379310344,8.910344827586206,117
